Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sun Jan 1 2023,8:00p,Boston Celtics,111,Denver Nuggets,123,Box Score,,19641,2:40,Ball Arena,
Sun Jan 1 2023,8:00p,Sacramento Kings,108,Memphis Grizzlies,118,Box Score,,17794,2:11,FedEx Forum,
Sun Jan 1 2023,8:00p,Washington Wizards,118,Milwaukee Bucks,95,Box Score,,17341,2:00,Fiserv Forum,
Mon Jan 2 2023,3:00p,Phoenix Suns,83,New York Knicks,102,Box Score,,19812,2:01,Madison Square Garden (IV),
Mon Jan 2 2023,7:00p,Los Angeles Lakers,121,Charlotte Hornets,115,Box Score,,19210,2:18,Spectrum Center,
Mon Jan 2 2023,7:00p,Chicago Bulls,134,Cleveland Cavaliers,145,Box Score,OT,19432,2:50,Rocket Mortgage Fieldhouse,
Mon Jan 2 2023,7:00p,Toronto Raptors,114,Indiana Pacers,122,Box Score,,14054,2:25,Gainbridge Fieldhouse,
Mon Jan 2 2023,7:00p,New Orleans Pelicans,111,Philadelphia 76ers,120,Box Score,,20531,2:09,Wells Fargo Center,
Mon Jan 2 2023,7:30p,San Antonio Spurs,103,Brooklyn Nets,139,Box Score,,18224,1:58,Barclays Center,
Mon Jan 2 2023,8:00p,Dallas Mavericks,111,Houston Rockets,106,Box Score,,18055,2:21,Toyota Center,
Mon Jan 2 2023,8:00p,Denver Nuggets,111,Minnesota Timberwolves,124,Box Score,,15962,2:12,Target Center,
Mon Jan 2 2023,10:00p,Atlanta Hawks,141,Golden State Warriors,143,Box Score,2OT,18064,2:45,Chase Center,
Mon Jan 2 2023,10:00p,Detroit Pistons,106,Portland Trail Blazers,135,Box Score,,19393,2:24,Moda Center,
Mon Jan 2 2023,10:30p,Miami Heat,110,Los Angeles Clippers,100,Box Score,,19068,2:15,Crypto.com Arena,
Tue Jan 3 2023,8:00p,Washington Wizards,113,Milwaukee Bucks,123,Box Score,,17341,2:10,Fiserv Forum,
Tue Jan 3 2023,8:00p,Boston Celtics,117,Oklahoma City Thunder,150,Box Score,,16778,2:09,Paycom Center,
Tue Jan 3 2023,9:00p,Sacramento Kings,117,Utah Jazz,115,Box Score,,18206,2:17,Vivint Arena,
Wed Jan 4 2023,7:00p,Memphis Grizzlies,131,Charlotte Hornets,107,Box Score,,19249,2:09,Spectrum Center,
Wed Jan 4 2023,7:00p,Phoenix Suns,88,Cleveland Cavaliers,90,Box Score,,19432,2:14,Rocket Mortgage Fieldhouse,
Wed Jan 4 2023,7:00p,Oklahoma City Thunder,115,Orlando Magic,126,Box Score,,18925,2:16,Amway Center,
Wed Jan 4 2023,7:00p,Indiana Pacers,126,Philadelphia 76ers,129,Box Score,OT,20033,2:26,Wells Fargo Center,
Wed Jan 4 2023,7:30p,San Antonio Spurs,114,New York Knicks,117,Box Score,,19812,2:20,Madison Square Garden (IV),
Wed Jan 4 2023,7:30p,Milwaukee Bucks,104,Toronto Raptors,101,Box Score,OT,19800,2:44,Scotiabank Arena,
Wed Jan 4 2023,8:00p,Brooklyn Nets,112,Chicago Bulls,121,Box Score,,21418,2:12,United Center,
