Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Tue Feb 1 2022,7:00p,New Orleans Pelicans,111,Detroit Pistons,101,Box Score,,15499,2:20,Little Caesars Arena,
Tue Feb 1 2022,7:30p,Washington Wizards,98,Milwaukee Bucks,112,Box Score,,17341,2:18,Fiserv Forum,
Tue Feb 1 2022,7:30p,Miami Heat,106,Toronto Raptors,110,Box Score,,,2:16,Scotiabank Arena,
Tue Feb 1 2022,8:00p,Orlando Magic,115,Chicago Bulls,126,Box Score,,20217,2:06,United Center,
Tue Feb 1 2022,8:00p,Denver Nuggets,115,Minnesota Timberwolves,130,Box Score,,15839,2:08,Target Center,
Tue Feb 1 2022,8:30p,Golden State Warriors,124,San Antonio Spurs,120,Box Score,,17070,2:15,AT&T Center,
Tue Feb 1 2022,10:00p,Brooklyn Nets,111,Phoenix Suns,121,Box Score,,17071,2:22,Phoenix Suns Arena,
Wed Feb 2 2022,7:00p,Orlando Magic,119,Indiana Pacers,118,Box Score,,14528,2:24,Gainbridge Fieldhouse,
Wed Feb 2 2022,7:00p,Washington Wizards,106,Philadelphia 76ers,103,Box Score,,20089,2:11,Wells Fargo Center,
Wed Feb 2 2022,7:30p,Charlotte Hornets,107,Boston Celtics,113,Box Score,,19156,2:13,TD Garden,
Wed Feb 2 2022,7:30p,Memphis Grizzlies,120,New York Knicks,108,Box Score,,19812,2:25,Madison Square Garden (IV),
Wed Feb 2 2022,8:00p,Cleveland Cavaliers,104,Houston Rockets,115,Box Score,,14163,2:20,Toyota Center,
Wed Feb 2 2022,8:30p,Oklahoma City Thunder,120,Dallas Mavericks,114,Box Score,OT,19200,2:21,American Airlines Center,
Wed Feb 2 2022,10:00p,Brooklyn Nets,101,Sacramento Kings,112,Box Score,,13153,2:00,Golden 1 Center,
Wed Feb 2 2022,10:00p,Denver Nuggets,104,Utah Jazz,108,Box Score,,18306,2:16,Vivint Smart Home Arena,
Wed Feb 2 2022,10:30p,Portland Trail Blazers,94,Los Angeles Lakers,99,Box Score,,17259,2:19,Crypto.com Arena,
Thu Feb 3 2022,7:00p,Minnesota Timberwolves,128,Detroit Pistons,117,Box Score,,15523,2:15,Little Caesars Arena,
Thu Feb 3 2022,7:00p,Miami Heat,112,San Antonio Spurs,95,Box Score,,14971,2:09,AT&T Center,
Thu Feb 3 2022,7:30p,Phoenix Suns,115,Atlanta Hawks,124,Box Score,,16958,2:16,State Farm Arena,
Thu Feb 3 2022,7:30p,Chicago Bulls,120,Toronto Raptors,127,Box Score,OT,,2:22,Scotiabank Arena,
Thu Feb 3 2022,10:00p,Sacramento Kings,114,Golden State Warriors,126,Box Score,,18064,2:09,Chase Center,
Thu Feb 3 2022,10:00p,Los Angeles Lakers,110,Los Angeles Clippers,111,Box Score,,19068,2:21,Crypto.com Arena,
Fri Feb 4 2022,7:00p,Cleveland Cavaliers,102,Charlotte Hornets,101,Box Score,,17733,2:16,Spectrum Center,
Fri Feb 4 2022,7:00p,Boston Celtics,102,Detroit Pistons,93,Box Score,,17584,2:09,Little Caesars Arena,
Fri Feb 4 2022,7:00p,Chicago Bulls,122,Indiana Pacers,115,Box Score,,16355,2:13,Gainbridge Fieldhouse,
Fri Feb 4 2022,7:30p,Atlanta Hawks,114,Toronto Raptors,125,Box Score,,,2:01,Scotiabank Arena,
Fri Feb 4 2022,8:30p,Houston Rockets,106,San Antonio Spurs,131,Box Score,,15344,2:08,AT&T Center,
Fri Feb 4 2022,9:00p,New Orleans Pelicans,113,Denver Nuggets,105,Box Score,,16152,2:07,Ball Arena,
Fri Feb 4 2022,9:00p,Brooklyn Nets,102,Utah Jazz,125,Box Score,,18306,1:56,Vivint Smart Home Arena,
Fri Feb 4 2022,10:00p,Philadelphia 76ers,98,Dallas Mavericks,107,Box Score,,19200,2:59,American Airlines Center,
Fri Feb 4 2022,10:00p,Oklahoma City Thunder,96,Portland Trail Blazers,93,Box Score,,15329,2:12,Moda Center,
Sat Feb 5 2022,5:00p,Memphis Grizzlies,135,Orlando Magic,115,Box Score,,18846,2:10,Amway Center,
Sat Feb 5 2022,7:00p,Miami Heat,104,Charlotte Hornets,86,Box Score,,19420,2:00,Spectrum Center,
Sat Feb 5 2022,7:00p,Phoenix Suns,95,Washington Wizards,80,Box Score,,18058,2:02,Capital One Arena,
Sat Feb 5 2022,8:30p,New York Knicks,115,Los Angeles Lakers,122,Box Score,OT,18997,2:49,Crypto.com Arena,
Sat Feb 5 2022,10:00p,Milwaukee Bucks,137,Portland Trail Blazers,108,Box Score,,19393,2:08,Moda Center,
Sat Feb 5 2022,10:00p,Oklahoma City Thunder,103,Sacramento Kings,113,Box Score,,14097,2:05,Golden 1 Center,
Sun Feb 6 2022,3:30p,Philadelphia 76ers,119,Chicago Bulls,108,Box Score,,20233,2:14,United Center,
Sun Feb 6 2022,3:30p,Brooklyn Nets,104,Denver Nuggets,124,Box Score,,18241,2:07,Ball Arena,
Sun Feb 6 2022,3:30p,Detroit Pistons,105,Minnesota Timberwolves,118,Box Score,,16487,2:09,Target Center,
Sun Feb 6 2022,6:00p,Indiana Pacers,85,Cleveland Cavaliers,98,Box Score,,19432,2:20,Rocket Mortgage Fieldhouse,
Sun Feb 6 2022,6:00p,Atlanta Hawks,94,Dallas Mavericks,103,Box Score,,19887,2:14,American Airlines Center,
Sun Feb 6 2022,6:00p,Boston Celtics,116,Orlando Magic,83,Box Score,,14402,2:05,Amway Center,
Sun Feb 6 2022,7:00p,New Orleans Pelicans,120,Houston Rockets,107,Box Score,,15702,2:11,Toyota Center,
Sun Feb 6 2022,9:00p,Milwaukee Bucks,137,Los Angeles Clippers,113,Box Score,,17395,2:08,Crypto.com Arena,
Mon Feb 7 2022,7:00p,Toronto Raptors,116,Charlotte Hornets,101,Box Score,,14102,2:09,Spectrum Center,
Mon Feb 7 2022,7:00p,Miami Heat,121,Washington Wizards,100,Box Score,,14222,2:12,Capital One Arena,
Mon Feb 7 2022,8:00p,Phoenix Suns,127,Chicago Bulls,124,Box Score,,20615,2:10,United Center,
Mon Feb 7 2022,8:00p,Golden State Warriors,110,Oklahoma City Thunder,98,Box Score,,17009,2:08,Paycom Center,
Mon Feb 7 2022,9:00p,New York Knicks,104,Utah Jazz,113,Box Score,,18306,2:23,Vivint Smart Home Arena,
Tue Feb 8 2022,7:00p,Phoenix Suns,114,Philadelphia 76ers,109,Box Score,,20720,2:12,Wells Fargo Center,
Tue Feb 8 2022,7:30p,Indiana Pacers,112,Atlanta Hawks,133,Box Score,,14265,2:07,State Farm Arena,
Tue Feb 8 2022,7:30p,Boston Celtics,126,Brooklyn Nets,91,Box Score,,17732,2:06,Barclays Center,
Tue Feb 8 2022,8:00p,Los Angeles Clippers,109,Memphis Grizzlies,135,Box Score,,16101,2:10,FedEx Forum,
Tue Feb 8 2022,8:00p,Houston Rockets,97,New Orleans Pelicans,110,Box Score,,15121,2:15,Smoothie King Center,
Tue Feb 8 2022,8:30p,Detroit Pistons,86,Dallas Mavericks,116,Box Score,,19200,2:07,American Airlines Center,
Tue Feb 8 2022,9:00p,New York Knicks,115,Denver Nuggets,132,Box Score,,15093,2:08,Ball Arena,
