Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed Feb 1 2023,7:00p,Portland Trail Blazers,122,Memphis Grizzlies,112,Box Score,,14589,2:28,FedEx Forum,
Wed Feb 1 2023,7:00p,Orlando Magic,94,Philadelphia 76ers,105,Box Score,,20885,2:11,Wells Fargo Center,
Wed Feb 1 2023,7:30p,Brooklyn Nets,96,Boston Celtics,139,Box Score,,19156,1:58,TD Garden,
Wed Feb 1 2023,8:00p,Oklahoma City Thunder,106,Houston Rockets,112,Box Score,,15181,2:13,Toyota Center,
Wed Feb 1 2023,8:00p,Golden State Warriors,114,Minnesota Timberwolves,119,Box Score,OT,17136,2:32,Target Center,
Wed Feb 1 2023,8:00p,Sacramento Kings,119,San Antonio Spurs,109,Box Score,,13207,2:03,AT&T Center,
Wed Feb 1 2023,9:00p,Toronto Raptors,128,Utah Jazz,131,Box Score,,18206,2:18,Vivint Arena,
Wed Feb 1 2023,10:00p,Atlanta Hawks,132,Phoenix Suns,100,Box Score,,17071,2:11,Footprint Center,
Thu Feb 2 2023,7:00p,Los Angeles Lakers,112,Indiana Pacers,111,Box Score,,17274,2:13,Gainbridge Fieldhouse,
Thu Feb 2 2023,7:30p,Memphis Grizzlies,113,Cleveland Cavaliers,128,Box Score,,19432,2:25,Rocket Mortgage Fieldhouse,
Thu Feb 2 2023,7:30p,Miami Heat,104,New York Knicks,106,Box Score,,19044,2:20,Madison Square Garden (IV),
Thu Feb 2 2023,8:00p,Charlotte Hornets,98,Chicago Bulls,114,Box Score,,20072,2:04,United Center,
Thu Feb 2 2023,8:30p,New Orleans Pelicans,106,Dallas Mavericks,111,Box Score,,19670,2:20,American Airlines Center,
Thu Feb 2 2023,9:00p,Golden State Warriors,117,Denver Nuggets,134,Box Score,,19555,2:07,Ball Arena,
Thu Feb 2 2023,10:00p,Los Angeles Clippers,105,Milwaukee Bucks,106,Box Score,,17341,2:20,Fiserv Forum,
Fri Feb 3 2023,7:00p,Charlotte Hornets,112,Detroit Pistons,118,Box Score,,18007,2:16,Little Caesars Arena,
Fri Feb 3 2023,7:00p,Sacramento Kings,104,Indiana Pacers,107,Box Score,,17274,2:05,Gainbridge Fieldhouse,
Fri Feb 3 2023,7:00p,Portland Trail Blazers,124,Washington Wizards,116,Box Score,,20476,2:11,Capital One Arena,
Fri Feb 3 2023,7:30p,Phoenix Suns,106,Boston Celtics,94,Box Score,,19156,2:09,TD Garden,
Fri Feb 3 2023,8:00p,Toronto Raptors,117,Houston Rockets,111,Box Score,,16585,2:14,Toyota Center,
Fri Feb 3 2023,8:00p,Orlando Magic,127,Minnesota Timberwolves,120,Box Score,,17136,2:36,Target Center,
Fri Feb 3 2023,8:00p,Philadelphia 76ers,137,San Antonio Spurs,125,Box Score,,15252,2:09,AT&T Center,
Fri Feb 3 2023,9:00p,Atlanta Hawks,115,Utah Jazz,108,Box Score,,18206,2:09,Vivint Arena,
Sat Feb 4 2023,6:00p,Washington Wizards,123,Brooklyn Nets,125,Box Score,,17732,2:27,Barclays Center,
Sat Feb 4 2023,6:00p,Los Angeles Lakers,126,New Orleans Pelicans,131,Box Score,,18886,2:19,Smoothie King Center,
Sat Feb 4 2023,7:00p,Phoenix Suns,116,Detroit Pistons,100,Box Score,,19788,2:09,Little Caesars Arena,
Sat Feb 4 2023,7:00p,Los Angeles Clippers,134,New York Knicks,128,Box Score,OT,19812,2:42,Madison Square Garden (IV),
Sat Feb 4 2023,8:00p,Portland Trail Blazers,121,Chicago Bulls,129,Box Score,,20135,2:05,United Center,
Sat Feb 4 2023,8:00p,Miami Heat,115,Milwaukee Bucks,123,Box Score,,18008,2:08,Fiserv Forum,
Sat Feb 4 2023,8:00p,Houston Rockets,121,Oklahoma City Thunder,153,Box Score,,16994,2:05,Paycom Center,
Sat Feb 4 2023,8:30p,Dallas Mavericks,113,Golden State Warriors,119,Box Score,,18064,2:21,Chase Center,
Sat Feb 4 2023,9:00p,Atlanta Hawks,108,Denver Nuggets,128,Box Score,,19630,2:03,Ball Arena,
Sun Feb 5 2023,1:00p,Orlando Magic,119,Charlotte Hornets,113,Box Score,,18510,2:10,Spectrum Center,
Sun Feb 5 2023,5:00p,Cleveland Cavaliers,122,Indiana Pacers,103,Box Score,,17274,2:05,Gainbridge Fieldhouse,
Sun Feb 5 2023,6:00p,Toronto Raptors,106,Memphis Grizzlies,103,Box Score,,17794,2:15,FedEx Forum,
Sun Feb 5 2023,6:00p,Philadelphia 76ers,97,New York Knicks,108,Box Score,,17586,2:38,Madison Square Garden (IV),
Sun Feb 5 2023,7:00p,Denver Nuggets,98,Minnesota Timberwolves,128,Box Score,,17136,2:13,Target Center,
Sun Feb 5 2023,7:00p,Sacramento Kings,104,New Orleans Pelicans,136,Box Score,,17779,2:12,Smoothie King Center,
Mon Feb 6 2023,7:00p,Boston Celtics,111,Detroit Pistons,99,Box Score,,17933,2:03,Little Caesars Arena,
Mon Feb 6 2023,7:00p,Cleveland Cavaliers,114,Washington Wizards,91,Box Score,,16744,1:58,Capital One Arena,
Mon Feb 6 2023,7:30p,Los Angeles Clippers,124,Brooklyn Nets,116,Box Score,,16981,2:15,Barclays Center,
Mon Feb 6 2023,8:00p,San Antonio Spurs,104,Chicago Bulls,128,Box Score,,19291,2:04,United Center,
Mon Feb 6 2023,8:00p,Sacramento Kings,140,Houston Rockets,120,Box Score,,15405,2:04,Toyota Center,
Mon Feb 6 2023,9:00p,Dallas Mavericks,124,Utah Jazz,111,Box Score,,18206,2:16,Vivint Arena,
Mon Feb 6 2023,10:00p,Oklahoma City Thunder,114,Golden State Warriors,141,Box Score,,18064,1:55,Chase Center,
Mon Feb 6 2023,10:00p,Milwaukee Bucks,127,Portland Trail Blazers,108,Box Score,,18110,2:16,Moda Center,
Tue Feb 7 2023,7:00p,New York Knicks,102,Orlando Magic,98,Box Score,,19438,2:13,Amway Center,
Tue Feb 7 2023,7:30p,Phoenix Suns,116,Brooklyn Nets,112,Box Score,,17093,2:28,Barclays Center,
Tue Feb 7 2023,7:30p,Atlanta Hawks,107,New Orleans Pelicans,116,Box Score,,16669,2:13,Smoothie King Center,
