Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Dec 1 2022,7:00p,Dallas Mavericks,125,Detroit Pistons,131,Box Score,OT,18106,2:33,Little Caesars Arena,
Fri Dec 2 2022,7:00p,Washington Wizards,116,Charlotte Hornets,117,Box Score,,15231,2:19,Spectrum Center,
Fri Dec 2 2022,7:30p,Denver Nuggets,109,Atlanta Hawks,117,Box Score,,16974,2:06,State Farm Arena,
Fri Dec 2 2022,7:30p,Miami Heat,120,Boston Celtics,116,Box Score,OT,19156,2:33,TD Garden,
Fri Dec 2 2022,7:30p,Toronto Raptors,105,Brooklyn Nets,114,Box Score,,17732,2:17,Barclays Center,
Fri Dec 2 2022,7:30p,Orlando Magic,96,Cleveland Cavaliers,107,Box Score,,19432,2:09,Rocket Mortgage Fieldhouse,
Fri Dec 2 2022,7:30p,Los Angeles Lakers,133,Milwaukee Bucks,129,Box Score,,17938,2:21,Fiserv Forum,
Fri Dec 2 2022,8:00p,Philadelphia 76ers,109,Memphis Grizzlies,117,Box Score,,17022,2:13,FedEx Forum,
Fri Dec 2 2022,8:00p,New Orleans Pelicans,117,San Antonio Spurs,99,Box Score,,17202,2:05,AT&T Center,
Fri Dec 2 2022,9:00p,Houston Rockets,122,Phoenix Suns,121,Box Score,,17071,2:17,Footprint Center,
Fri Dec 2 2022,9:00p,Indiana Pacers,119,Utah Jazz,139,Box Score,,18206,2:28,Vivint Arena,
Fri Dec 2 2022,10:00p,Chicago Bulls,111,Golden State Warriors,119,Box Score,,18064,2:24,Chase Center,
Sat Dec 3 2022,12:30p,Dallas Mavericks,121,New York Knicks,100,Box Score,,18319,2:03,Madison Square Garden (IV),
Sat Dec 3 2022,4:00p,Sacramento Kings,123,Los Angeles Clippers,96,Box Score,,16587,2:16,Crypto.com Arena,
Sat Dec 3 2022,6:00p,Milwaukee Bucks,105,Charlotte Hornets,96,Box Score,,18128,2:15,Spectrum Center,
Sat Dec 3 2022,8:00p,Oklahoma City Thunder,135,Minnesota Timberwolves,128,Box Score,,17136,2:31,Target Center,
Sat Dec 3 2022,8:00p,Orlando Magic,108,Toronto Raptors,121,Box Score,,19800,2:12,Scotiabank Arena,
Sat Dec 3 2022,8:30p,Houston Rockets,101,Golden State Warriors,120,Box Score,,18064,2:05,Chase Center,
Sat Dec 3 2022,9:00p,Portland Trail Blazers,116,Utah Jazz,111,Box Score,,18206,2:15,Vivint Arena,
Sun Dec 4 2022,3:30p,Denver Nuggets,106,New Orleans Pelicans,121,Box Score,,15658,2:19,Smoothie King Center,
Sun Dec 4 2022,4:00p,Phoenix Suns,133,San Antonio Spurs,95,Box Score,,16409,2:08,AT&T Center,
Sun Dec 4 2022,6:00p,Boston Celtics,103,Brooklyn Nets,92,Box Score,,18043,2:07,Barclays Center,
Sun Dec 4 2022,6:00p,Memphis Grizzlies,122,Detroit Pistons,112,Box Score,,20088,2:13,Little Caesars Arena,
Sun Dec 4 2022,6:00p,Cleveland Cavaliers,81,New York Knicks,92,Box Score,,19007,2:11,Madison Square Garden (IV),
Sun Dec 4 2022,6:00p,Chicago Bulls,101,Sacramento Kings,110,Box Score,,17611,2:09,Golden 1 Center,
Sun Dec 4 2022,6:00p,Los Angeles Lakers,130,Washington Wizards,119,Box Score,,19647,2:09,Capital One Arena,
Sun Dec 4 2022,9:00p,Indiana Pacers,100,Portland Trail Blazers,116,Box Score,,17479,2:07,Moda Center,
Mon Dec 5 2022,7:00p,Los Angeles Clippers,119,Charlotte Hornets,117,Box Score,,13945,2:08,Spectrum Center,
Mon Dec 5 2022,7:00p,Milwaukee Bucks,109,Orlando Magic,102,Box Score,,16174,2:18,Amway Center,
Mon Dec 5 2022,7:30p,Oklahoma City Thunder,121,Atlanta Hawks,114,Box Score,,16301,2:13,State Farm Arena,
Mon Dec 5 2022,7:30p,Boston Celtics,116,Toronto Raptors,110,Box Score,,19800,2:11,Scotiabank Arena,
Mon Dec 5 2022,8:00p,Philadelphia 76ers,123,Houston Rockets,132,Box Score,2OT,15331,2:57,Toyota Center,
Mon Dec 5 2022,8:00p,Miami Heat,93,Memphis Grizzlies,101,Box Score,,16122,2:07,FedEx Forum,
Mon Dec 5 2022,8:30p,Phoenix Suns,111,Dallas Mavericks,130,Box Score,,20227,2:09,American Airlines Center,
Mon Dec 5 2022,10:00p,Indiana Pacers,112,Golden State Warriors,104,Box Score,,18064,2:15,Chase Center,
Tue Dec 6 2022,7:30p,Los Angeles Lakers,102,Cleveland Cavaliers,116,Box Score,,19432,2:13,Rocket Mortgage Fieldhouse,
Tue Dec 6 2022,7:30p,Detroit Pistons,116,Miami Heat,96,Box Score,,19600,2:09,Kaseya Center,
Tue Dec 6 2022,10:00p,Dallas Mavericks,116,Denver Nuggets,115,Box Score,,19520,2:30,Ball Arena,
Wed Dec 7 2022,7:00p,Los Angeles Clippers,111,Orlando Magic,116,Box Score,OT,14429,2:41,Amway Center,
Wed Dec 7 2022,7:30p,Charlotte Hornets,116,Brooklyn Nets,122,Box Score,,16903,2:11,Barclays Center,
Wed Dec 7 2022,7:30p,Atlanta Hawks,89,New York Knicks,113,Box Score,,18091,2:20,Madison Square Garden (IV),
Wed Dec 7 2022,7:30p,Los Angeles Lakers,113,Toronto Raptors,126,Box Score,,19800,2:11,Scotiabank Arena,
Wed Dec 7 2022,8:00p,Washington Wizards,111,Chicago Bulls,115,Box Score,,19265,2:17,United Center,
Wed Dec 7 2022,8:00p,Oklahoma City Thunder,102,Memphis Grizzlies,123,Box Score,,15942,2:03,FedEx Forum,
Wed Dec 7 2022,8:00p,Sacramento Kings,113,Milwaukee Bucks,126,Box Score,,17341,2:09,Fiserv Forum,
Wed Dec 7 2022,8:00p,Indiana Pacers,115,Minnesota Timberwolves,121,Box Score,,15472,2:18,Target Center,
Wed Dec 7 2022,8:00p,Detroit Pistons,98,New Orleans Pelicans,104,Box Score,,14073,2:14,Smoothie King Center,
Wed Dec 7 2022,9:00p,Golden State Warriors,123,Utah Jazz,124,Box Score,,18206,2:16,Vivint Arena,
Wed Dec 7 2022,10:00p,Boston Celtics,125,Phoenix Suns,98,Box Score,,17071,2:02,Footprint Center,
Thu Dec 8 2022,7:30p,Los Angeles Clippers,110,Miami Heat,115,Box Score,,19600,2:09,Kaseya Center,
Thu Dec 8 2022,8:30p,Houston Rockets,109,San Antonio Spurs,118,Box Score,,13140,2:06,AT&T Center,
Thu Dec 8 2022,10:00p,Denver Nuggets,121,Portland Trail Blazers,120,Box Score,,18189,2:13,Moda Center,
Fri Dec 9 2022,7:00p,New York Knicks,121,Charlotte Hornets,102,Box Score,,17696,2:15,Spectrum Center,
Fri Dec 9 2022,7:00p,Washington Wizards,111,Indiana Pacers,121,Box Score,,15039,2:18,Gainbridge Fieldhouse,
Fri Dec 9 2022,7:00p,Toronto Raptors,109,Orlando Magic,113,Box Score,,17008,2:11,Amway Center,
Fri Dec 9 2022,7:30p,Atlanta Hawks,116,Brooklyn Nets,120,Box Score,,18072,2:15,Barclays Center,
Fri Dec 9 2022,7:30p,Sacramento Kings,106,Cleveland Cavaliers,95,Box Score,,19432,2:16,Rocket Mortgage Fieldhouse,
Fri Dec 9 2022,7:30p,Los Angeles Lakers,122,Philadelphia 76ers,133,Box Score,OT,20852,2:43,Wells Fargo Center,
Fri Dec 9 2022,8:00p,Detroit Pistons,103,Memphis Grizzlies,114,Box Score,,17103,2:15,FedEx Forum,
Fri Dec 9 2022,8:30p,Phoenix Suns,117,New Orleans Pelicans,128,Box Score,,16381,2:11,Smoothie King Center,
Fri Dec 9 2022,9:00p,Minnesota Timberwolves,118,Utah Jazz,108,Box Score,,18206,2:08,Vivint Arena,
Fri Dec 9 2022,10:00p,Milwaukee Bucks,106,Dallas Mavericks,105,Box Score,,20277,2:27,American Airlines Center,
Sat Dec 10 2022,5:00p,San Antonio Spurs,115,Miami Heat,111,Box Score,,19600,2:20,Kaseya Center,
Sat Dec 10 2022,7:00p,Brooklyn Nets,136,Indiana Pacers,133,Box Score,,14280,2:29,Gainbridge Fieldhouse,
Sat Dec 10 2022,7:00p,Los Angeles Clippers,114,Washington Wizards,107,Box Score,,18404,2:17,Capital One Arena,
Sat Dec 10 2022,7:30p,Oklahoma City Thunder,102,Cleveland Cavaliers,110,Box Score,,19432,2:06,Rocket Mortgage Fieldhouse,
Sat Dec 10 2022,8:00p,Dallas Mavericks,115,Chicago Bulls,144,Box Score,,19528,2:02,United Center,
Sat Dec 10 2022,8:30p,Boston Celtics,107,Golden State Warriors,123,Box Score,,18064,2:14,Chase Center,
Sat Dec 10 2022,9:00p,Utah Jazz,110,Denver Nuggets,115,Box Score,,19636,2:07,Ball Arena,
Sat Dec 10 2022,10:00p,Minnesota Timberwolves,118,Portland Trail Blazers,124,Box Score,,18324,2:23,Moda Center,
Sun Dec 11 2022,3:30p,Phoenix Suns,124,New Orleans Pelicans,129,Box Score,OT,18681,2:36,Smoothie King Center,
Sun Dec 11 2022,6:00p,Los Angeles Lakers,124,Detroit Pistons,117,Box Score,,20190,2:10,Little Caesars Arena,
Sun Dec 11 2022,6:00p,Sacramento Kings,99,New York Knicks,112,Box Score,,19812,2:17,Madison Square Garden (IV),
Sun Dec 11 2022,6:00p,Toronto Raptors,99,Orlando Magic,111,Box Score,,16891,2:24,Amway Center,
Sun Dec 11 2022,6:00p,Charlotte Hornets,113,Philadelphia 76ers,131,Box Score,,19765,2:17,Wells Fargo Center,
Sun Dec 11 2022,6:30p,Chicago Bulls,122,Atlanta Hawks,123,Box Score,OT,17227,2:39,State Farm Arena,
Sun Dec 11 2022,7:00p,Milwaukee Bucks,92,Houston Rockets,97,Box Score,,16268,2:04,Toyota Center,
Mon Dec 12 2022,7:00p,Miami Heat,87,Indiana Pacers,82,Box Score,,15309,2:11,Gainbridge Fieldhouse,
Mon Dec 12 2022,7:00p,Brooklyn Nets,112,Washington Wizards,100,Box Score,,16090,2:06,Capital One Arena,
Mon Dec 12 2022,8:00p,Atlanta Hawks,103,Memphis Grizzlies,128,Box Score,,16544,2:05,FedEx Forum,
Mon Dec 12 2022,8:30p,Oklahoma City Thunder,114,Dallas Mavericks,121,Box Score,,19877,2:16,American Airlines Center,
Mon Dec 12 2022,8:30p,Cleveland Cavaliers,111,San Antonio Spurs,112,Box Score,,13434,2:12,AT&T Center,
Mon Dec 12 2022,10:00p,Minnesota Timberwolves,112,Portland Trail Blazers,133,Box Score,,18021,2:03,Moda Center,
Mon Dec 12 2022,10:30p,Boston Celtics,93,Los Angeles Clippers,113,Box Score,,19068,2:16,Crypto.com Arena,
Tue Dec 13 2022,7:00p,Sacramento Kings,103,Philadelphia 76ers,123,Box Score,,19768,2:14,Wells Fargo Center,
Tue Dec 13 2022,7:30p,Golden State Warriors,111,Milwaukee Bucks,128,Box Score,,17628,2:22,Fiserv Forum,
Tue Dec 13 2022,8:00p,Phoenix Suns,97,Houston Rockets,111,Box Score,,15128,2:11,Toyota Center,
Tue Dec 13 2022,9:00p,New Orleans Pelicans,100,Utah Jazz,121,Box Score,,18206,2:14,Vivint Arena,
Tue Dec 13 2022,10:00p,Boston Celtics,122,Los Angeles Lakers,118,Box Score,OT,18661,2:29,Crypto.com Arena,
Wed Dec 14 2022,7:00p,Detroit Pistons,141,Charlotte Hornets,134,Box Score,OT,14303,2:36,Spectrum Center,
Wed Dec 14 2022,7:00p,Golden State Warriors,119,Indiana Pacers,125,Box Score,,15069,2:18,Gainbridge Fieldhouse,
Wed Dec 14 2022,7:00p,Atlanta Hawks,124,Orlando Magic,135,Box Score,,16002,2:17,Amway Center,
Wed Dec 14 2022,7:30p,New York Knicks,128,Chicago Bulls,120,Box Score,OT,18820,2:38,United Center,
Wed Dec 14 2022,7:30p,Sacramento Kings,124,Toronto Raptors,123,Box Score,,19800,2:16,Scotiabank Arena,
Wed Dec 14 2022,8:00p,Miami Heat,110,Oklahoma City Thunder,108,Box Score,,14783,2:09,Paycom Center,
Wed Dec 14 2022,8:00p,Portland Trail Blazers,128,San Antonio Spurs,112,Box Score,,13657,2:08,AT&T Center,
Wed Dec 14 2022,9:00p,Cleveland Cavaliers,105,Dallas Mavericks,90,Box Score,,20093,2:08,American Airlines Center,
Wed Dec 14 2022,9:00p,Washington Wizards,128,Denver Nuggets,141,Box Score,,19550,2:17,Ball Arena,
Wed Dec 14 2022,10:00p,Minnesota Timberwolves,88,Los Angeles Clippers,99,Box Score,,14063,2:20,Crypto.com Arena,
Thu Dec 15 2022,8:00p,Miami Heat,111,Houston Rockets,108,Box Score,,16210,2:14,Toyota Center,
Thu Dec 15 2022,8:00p,Milwaukee Bucks,101,Memphis Grizzlies,142,Box Score,,17794,2:14,FedEx Forum,
Thu Dec 15 2022,9:00p,New Orleans Pelicans,129,Utah Jazz,132,Box Score,OT,18206,2:48,Vivint Arena,
Thu Dec 15 2022,10:30p,Phoenix Suns,111,Los Angeles Clippers,95,Box Score,,15778,2:08,Crypto.com Arena,
Fri Dec 16 2022,7:00p,Atlanta Hawks,125,Charlotte Hornets,106,Box Score,,17772,2:13,Spectrum Center,
Fri Dec 16 2022,7:00p,Sacramento Kings,122,Detroit Pistons,113,Box Score,,17892,2:19,Little Caesars Arena,
Fri Dec 16 2022,7:30p,Orlando Magic,117,Boston Celtics,109,Box Score,,19156,2:26,TD Garden,
Fri Dec 16 2022,7:30p,Indiana Pacers,112,Cleveland Cavaliers,118,Box Score,,19432,2:09,Rocket Mortgage Fieldhouse,
Fri Dec 16 2022,7:30p,Golden State Warriors,106,Philadelphia 76ers,118,Box Score,,20567,2:14,Wells Fargo Center,
Fri Dec 16 2022,7:30p,Brooklyn Nets,119,Toronto Raptors,116,Box Score,,19800,,Scotiabank Arena,
Fri Dec 16 2022,8:00p,New York Knicks,114,Chicago Bulls,91,Box Score,,19661,2:07,United Center,
Fri Dec 16 2022,8:00p,Minnesota Timberwolves,112,Oklahoma City Thunder,110,Box Score,,14885,2:17,Paycom Center,
Fri Dec 16 2022,8:30p,Portland Trail Blazers,110,Dallas Mavericks,130,Box Score,,20191,2:09,American Airlines Center,
Fri Dec 16 2022,10:00p,Denver Nuggets,108,Los Angeles Lakers,126,Box Score,,18505,2:21,Crypto.com Arena,
Sat Dec 17 2022,4:00p,Washington Wizards,93,Los Angeles Clippers,102,Box Score,,15018,2:17,Crypto.com Arena,
Sat Dec 17 2022,5:00p,Miami Heat,111,San Antonio Spurs,101,Box Score,,20160,2:33,Mexico City Arena,
Sat Dec 17 2022,8:00p,Dallas Mavericks,99,Cleveland Cavaliers,100,Box Score,OT,19432,2:37,Rocket Mortgage Fieldhouse,
Sat Dec 17 2022,8:00p,Portland Trail Blazers,107,Houston Rockets,95,Box Score,,16217,2:15,Toyota Center,
Sat Dec 17 2022,8:00p,Utah Jazz,97,Milwaukee Bucks,123,Box Score,,17587,1:56,Fiserv Forum,
Sat Dec 17 2022,8:00p,Memphis Grizzlies,109,Oklahoma City Thunder,115,Box Score,,16895,2:19,Paycom Center,
Sat Dec 17 2022,9:00p,New Orleans Pelicans,114,Phoenix Suns,118,Box Score,,17071,2:19,Footprint Center,
Sun Dec 18 2022,3:00p,Orlando Magic,95,Boston Celtics,92,Box Score,,19156,2:09,TD Garden,
Sun Dec 18 2022,5:00p,New York Knicks,109,Indiana Pacers,106,Box Score,,14513,2:25,Gainbridge Fieldhouse,
Sun Dec 18 2022,6:00p,Brooklyn Nets,124,Detroit Pistons,121,Box Score,,19488,2:18,Little Caesars Arena,
Sun Dec 18 2022,6:00p,Golden State Warriors,126,Toronto Raptors,110,Box Score,,19800,2:19,Scotiabank Arena,
Sun Dec 18 2022,7:00p,Chicago Bulls,126,Minnesota Timberwolves,150,Box Score,,16294,2:07,Target Center,
Sun Dec 18 2022,8:00p,Charlotte Hornets,115,Denver Nuggets,119,Box Score,,19235,2:18,Ball Arena,
Sun Dec 18 2022,9:30p,Washington Wizards,117,Los Angeles Lakers,119,Box Score,,18153,2:10,Crypto.com Arena,
Mon Dec 19 2022,7:00p,Utah Jazz,99,Cleveland Cavaliers,122,Box Score,,19432,2:06,Rocket Mortgage Fieldhouse,
Mon Dec 19 2022,7:00p,Toronto Raptors,101,Philadelphia 76ers,104,Box Score,OT,20408,2:30,Wells Fargo Center,
Mon Dec 19 2022,7:30p,Orlando Magic,125,Atlanta Hawks,126,Box Score,,17809,2:19,State Farm Arena,
Mon Dec 19 2022,8:00p,San Antonio Spurs,124,Houston Rockets,105,Box Score,,15928,2:09,Toyota Center,
Mon Dec 19 2022,8:00p,Dallas Mavericks,106,Minnesota Timberwolves,116,Box Score,,16627,2:12,Target Center,
Mon Dec 19 2022,8:00p,Milwaukee Bucks,128,New Orleans Pelicans,119,Box Score,,18271,2:21,Smoothie King Center,
Mon Dec 19 2022,8:00p,Portland Trail Blazers,121,Oklahoma City Thunder,123,Box Score,,14672,2:18,Paycom Center,
Mon Dec 19 2022,9:00p,Los Angeles Lakers,104,Phoenix Suns,130,Box Score,,17071,2:04,Footprint Center,
Mon Dec 19 2022,10:00p,Charlotte Hornets,125,Sacramento Kings,119,Box Score,,17803,2:24,Golden 1 Center,
Tue Dec 20 2022,7:00p,Utah Jazz,126,Detroit Pistons,111,Box Score,,15622,2:06,Little Caesars Arena,
Tue Dec 20 2022,7:30p,Chicago Bulls,113,Miami Heat,103,Box Score,,19969,2:04,Kaseya Center,
Tue Dec 20 2022,7:30p,Golden State Warriors,94,New York Knicks,132,Box Score,,19812,2:14,Madison Square Garden (IV),
Tue Dec 20 2022,9:00p,Washington Wizards,113,Phoenix Suns,110,Box Score,,17071,2:19,Footprint Center,
Tue Dec 20 2022,10:00p,Memphis Grizzlies,91,Denver Nuggets,105,Box Score,,19605,2:22,Ball Arena,
Wed Dec 21 2022,7:00p,Milwaukee Bucks,106,Cleveland Cavaliers,114,Box Score,,19432,2:23,Rocket Mortgage Fieldhouse,
Wed Dec 21 2022,7:00p,Detroit Pistons,93,Philadelphia 76ers,113,Box Score,,20615,2:13,Wells Fargo Center,
Wed Dec 21 2022,7:30p,Chicago Bulls,110,Atlanta Hawks,108,Box Score,,17226,2:13,State Farm Arena,
Wed Dec 21 2022,7:30p,Indiana Pacers,117,Boston Celtics,112,Box Score,,19156,2:10,TD Garden,
Wed Dec 21 2022,7:30p,Golden State Warriors,113,Brooklyn Nets,143,Box Score,,18026,2:05,Barclays Center,
