Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sun May 1 2022,1:00p,Milwaukee Bucks,101,Boston Celtics,89,Box Score,,19156,2:28,TD Garden,
Sun May 1 2022,3:30p,Golden State Warriors,117,Memphis Grizzlies,116,Box Score,,17794,2:40,FedEx Forum,
Mon May 2 2022,7:30p,Philadelphia 76ers,92,Miami Heat,106,Box Score,,19620,2:18,FTX Arena,
Mon May 2 2022,10:00p,Dallas Mavericks,114,Phoenix Suns,121,Box Score,,17071,2:24,Phoenix Suns Arena,
Tue May 3 2022,7:00p,Milwaukee Bucks,86,Boston Celtics,109,Box Score,,19156,2:31,TD Garden,
Tue May 3 2022,9:30p,Golden State Warriors,101,Memphis Grizzlies,106,Box Score,,17794,2:32,FedEx Forum,
Wed May 4 2022,7:30p,Philadelphia 76ers,103,Miami Heat,119,Box Score,,19759,2:27,FTX Arena,
Wed May 4 2022,10:00p,Dallas Mavericks,109,Phoenix Suns,129,Box Score,,17071,2:24,Phoenix Suns Arena,
Fri May 6 2022,7:00p,Miami Heat,79,Philadelphia 76ers,99,Box Score,,21033,2:26,Wells Fargo Center,
Fri May 6 2022,9:30p,Phoenix Suns,94,Dallas Mavericks,103,Box Score,,20777,2:12,American Airlines Center,
Sat May 7 2022,3:30p,Boston Celtics,101,Milwaukee Bucks,103,Box Score,,17736,2:34,Fiserv Forum,
Sat May 7 2022,8:30p,Memphis Grizzlies,112,Golden State Warriors,142,Box Score,,18064,2:22,Chase Center,
Sun May 8 2022,3:30p,Phoenix Suns,101,Dallas Mavericks,111,Box Score,,20610,2:22,American Airlines Center,
Sun May 8 2022,8:00p,Miami Heat,108,Philadelphia 76ers,116,Box Score,,21194,2:34,Wells Fargo Center,
Mon May 9 2022,7:30p,Boston Celtics,116,Milwaukee Bucks,108,Box Score,,17505,2:33,Fiserv Forum,
Mon May 9 2022,10:00p,Memphis Grizzlies,98,Golden State Warriors,101,Box Score,,18064,2:21,Chase Center,
Tue May 10 2022,7:30p,Philadelphia 76ers,85,Miami Heat,120,Box Score,,19868,2:16,FTX Arena,
Tue May 10 2022,10:00p,Dallas Mavericks,80,Phoenix Suns,110,Box Score,,17071,2:19,Phoenix Suns Arena,
Wed May 11 2022,7:00p,Milwaukee Bucks,110,Boston Celtics,107,Box Score,,19156,2:31,TD Garden,
Wed May 11 2022,9:30p,Golden State Warriors,95,Memphis Grizzlies,134,Box Score,,17794,2:14,FedEx Forum,
Thu May 12 2022,7:00p,Miami Heat,99,Philadelphia 76ers,90,Box Score,,21082,2:16,Wells Fargo Center,
Thu May 12 2022,9:30p,Phoenix Suns,86,Dallas Mavericks,113,Box Score,,20777,2:23,American Airlines Center,
Fri May 13 2022,7:30p,Boston Celtics,108,Milwaukee Bucks,95,Box Score,,17681,2:27,Fiserv Forum,
Fri May 13 2022,10:00p,Memphis Grizzlies,96,Golden State Warriors,110,Box Score,,18064,2:17,Chase Center,
Sun May 15 2022,3:30p,Milwaukee Bucks,81,Boston Celtics,109,Box Score,,19156,2:27,TD Garden,
Sun May 15 2022,8:00p,Dallas Mavericks,123,Phoenix Suns,90,Box Score,,17071,2:07,Phoenix Suns Arena,
Tue May 17 2022,8:30p,Boston Celtics,107,Miami Heat,118,Box Score,,19774,2:39,FTX Arena,
Wed May 18 2022,9:00p,Dallas Mavericks,87,Golden State Warriors,112,Box Score,,18064,2:15,Chase Center,
Thu May 19 2022,8:30p,Boston Celtics,127,Miami Heat,102,Box Score,,20100,2:16,FTX Arena,
Fri May 20 2022,9:00p,Dallas Mavericks,117,Golden State Warriors,126,Box Score,,18064,2:33,Chase Center,
Sat May 21 2022,8:30p,Miami Heat,109,Boston Celtics,103,Box Score,,19156,2:37,TD Garden,
Sun May 22 2022,9:00p,Golden State Warriors,109,Dallas Mavericks,100,Box Score,,20813,2:34,American Airlines Center,
Mon May 23 2022,8:30p,Miami Heat,82,Boston Celtics,102,Box Score,,19156,2:20,TD Garden,
Tue May 24 2022,9:00p,Golden State Warriors,109,Dallas Mavericks,119,Box Score,,20810,2:32,American Airlines Center,
Wed May 25 2022,8:30p,Boston Celtics,93,Miami Heat,80,Box Score,,19819,2:20,FTX Arena,
Thu May 26 2022,9:00p,Dallas Mavericks,110,Golden State Warriors,120,Box Score,,18064,2:17,Chase Center,
Fri May 27 2022,8:30p,Miami Heat,111,Boston Celtics,103,Box Score,,19156,2:41,TD Garden,
Sun May 29 2022,8:30p,Boston Celtics,100,Miami Heat,96,Box Score,,20200,2:30,FTX Arena,
