Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Jun 1 2023,8:30p,Miami Heat,93,Denver Nuggets,104,Box Score,,19528,2:04,Ball Arena,
Sun Jun 4 2023,8:00p,Miami Heat,111,Denver Nuggets,108,Box Score,,19537,2:24,Ball Arena,
Wed Jun 7 2023,8:30p,Denver Nuggets,109,Miami Heat,94,Box Score,,20019,2:25,Kaseya Center,
Fri Jun 9 2023,8:30p,Denver Nuggets,108,Miami Heat,95,Box Score,,20184,2:29,Kaseya Center,
Mon Jun 12 2023,8:30p,Miami Heat,89,Denver Nuggets,94,Box Score,,19537,2:22,Ball Arena,
