Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Feb 8 2024,7:00p,San Antonio Spurs,111,Orlando Magic,127,Box Score,,19074,2:15,Kia Center,
Thu Feb 8 2024,7:30p,Cleveland Cavaliers,118,Brooklyn Nets,95,Box Score,,17304,2:03,Barclays Center,
Thu Feb 8 2024,7:30p,Dallas Mavericks,122,New York Knicks,108,Box Score,,19812,2:12,Madison Square Garden (IV),
Thu Feb 8 2024,8:00p,Chicago Bulls,118,Memphis Grizzlies,110,Box Score,,16285,2:13,FedEx Forum,
Thu Feb 8 2024,8:00p,Minnesota Timberwolves,129,Milwaukee Bucks,105,Box Score,,17577,2:05,Fiserv Forum,
Thu Feb 8 2024,9:00p,Utah Jazz,115,Phoenix Suns,129,Box Score,,17071,2:11,Footprint Center,
Thu Feb 8 2024,10:00p,Denver Nuggets,114,Los Angeles Lakers,106,Box Score,,18997,2:12,Crypto.com Arena,
Thu Feb 8 2024,10:00p,Detroit Pistons,128,Portland Trail Blazers,122,Box Score,OT,18125,2:39,Moda Center,
Fri Feb 9 2024,7:00p,Atlanta Hawks,127,Philadelphia 76ers,121,Box Score,,19758,2:24,Wells Fargo Center,
Fri Feb 9 2024,7:30p,Washington Wizards,129,Boston Celtics,133,Box Score,,19156,2:14,TD Garden,
Fri Feb 9 2024,7:30p,Houston Rockets,104,Toronto Raptors,107,Box Score,,19800,2:19,Scotiabank Arena,
Fri Feb 9 2024,8:00p,Charlotte Hornets,84,Milwaukee Bucks,120,Box Score,,17690,2:08,Fiserv Forum,
Fri Feb 9 2024,10:00p,Denver Nuggets,106,Sacramento Kings,135,Box Score,,17832,2:10,Golden 1 Center,
Fri Feb 9 2024,10:30p,New Orleans Pelicans,122,Los Angeles Lakers,139,Box Score,,18997,2:13,Crypto.com Arena,
Sat Feb 10 2024,3:00p,Oklahoma City Thunder,111,Dallas Mavericks,146,Box Score,,20277,2:14,American Airlines Center,
Sat Feb 10 2024,3:30p,Detroit Pistons,106,Los Angeles Clippers,112,Box Score,,19370,2:13,Crypto.com Arena,
Sat Feb 10 2024,6:00p,San Antonio Spurs,103,Brooklyn Nets,123,Box Score,,18005,2:10,Barclays Center,
Sat Feb 10 2024,7:00p,Memphis Grizzlies,106,Charlotte Hornets,115,Box Score,,17259,1:56,Spectrum Center,
Sat Feb 10 2024,7:00p,Chicago Bulls,108,Orlando Magic,114,Box Score,OT,19459,2:21,Kia Center,
Sat Feb 10 2024,7:00p,Philadelphia 76ers,119,Washington Wizards,113,Box Score,,20333,2:13,Capital One Arena,
Sat Feb 10 2024,7:30p,Houston Rockets,113,Atlanta Hawks,122,Box Score,,17503,2:19,State Farm Arena,
Sat Feb 10 2024,7:30p,Indiana Pacers,125,New York Knicks,111,Box Score,,19812,2:06,Madison Square Garden (IV),
Sat Feb 10 2024,7:30p,Cleveland Cavaliers,119,Toronto Raptors,95,Box Score,,19800,2:03,Scotiabank Arena,
Sat Feb 10 2024,8:30p,Phoenix Suns,112,Golden State Warriors,113,Box Score,,18064,2:25,Chase Center,
Sat Feb 10 2024,10:00p,New Orleans Pelicans,93,Portland Trail Blazers,84,Box Score,,18226,2:02,Moda Center,
Sun Feb 11 2024,2:00p,Boston Celtics,110,Miami Heat,106,Box Score,,20049,2:21,Kaseya Center,
Sun Feb 11 2024,3:00p,Sacramento Kings,113,Oklahoma City Thunder,127,Box Score,,17092,2:12,Paycom Center,
Mon Feb 12 2024,7:00p,Indiana Pacers,102,Charlotte Hornets,111,Box Score,,12112,2:04,Spectrum Center,
Mon Feb 12 2024,7:00p,Philadelphia 76ers,123,Cleveland Cavaliers,121,Box Score,,19432,2:21,Rocket Mortgage Fieldhouse,
Mon Feb 12 2024,7:30p,Chicago Bulls,136,Atlanta Hawks,126,Box Score,,16524,2:15,State Farm Arena,
Mon Feb 12 2024,7:30p,San Antonio Spurs,122,Toronto Raptors,99,Box Score,,19800,2:05,Scotiabank Arena,
Mon Feb 12 2024,8:00p,New York Knicks,103,Houston Rockets,105,Box Score,,16790,2:22,Toyota Center,
Mon Feb 12 2024,8:00p,New Orleans Pelicans,96,Memphis Grizzlies,87,Box Score,,15823,,FedEx Forum,
Mon Feb 12 2024,8:00p,Denver Nuggets,95,Milwaukee Bucks,112,Box Score,,17444,2:04,Fiserv Forum,
Mon Feb 12 2024,8:30p,Washington Wizards,104,Dallas Mavericks,112,Box Score,,19921,2:16,American Airlines Center,
Mon Feb 12 2024,9:00p,Golden State Warriors,129,Utah Jazz,107,Box Score,,18206,2:06,Delta Center,
Mon Feb 12 2024,10:30p,Minnesota Timberwolves,121,Los Angeles Clippers,100,Box Score,,19370,2:06,Crypto.com Arena,
Tue Feb 13 2024,7:30p,Boston Celtics,118,Brooklyn Nets,110,Box Score,,18053,2:14,Barclays Center,
Tue Feb 13 2024,7:30p,Oklahoma City Thunder,127,Orlando Magic,113,Box Score,,19301,2:18,Kia Center,
Tue Feb 13 2024,8:00p,Miami Heat,123,Milwaukee Bucks,97,Box Score,,17520,2:06,Fiserv Forum,
Tue Feb 13 2024,10:00p,Sacramento Kings,125,Phoenix Suns,130,Box Score,,17071,2:31,Footprint Center,
Tue Feb 13 2024,10:00p,Minnesota Timberwolves,121,Portland Trail Blazers,109,Box Score,,17906,2:12,Moda Center,
Tue Feb 13 2024,10:30p,Detroit Pistons,111,Los Angeles Lakers,125,Box Score,,18997,2:07,Crypto.com Arena,
Wed Feb 14 2024,7:00p,Atlanta Hawks,99,Charlotte Hornets,122,Box Score,,14336,2:06,Spectrum Center,
Wed Feb 14 2024,7:00p,New York Knicks,100,Orlando Magic,118,Box Score,,19259,2:08,Kia Center,
Wed Feb 14 2024,7:00p,Miami Heat,109,Philadelphia 76ers,104,Box Score,,20015,2:13,Wells Fargo Center,
Wed Feb 14 2024,7:30p,Brooklyn Nets,86,Boston Celtics,136,Box Score,,19156,1:54,TD Garden,
Wed Feb 14 2024,7:30p,Chicago Bulls,105,Cleveland Cavaliers,108,Box Score,,19432,2:20,Rocket Mortgage Fieldhouse,
Wed Feb 14 2024,7:30p,Indiana Pacers,127,Toronto Raptors,125,Box Score,,19800,2:13,Scotiabank Arena,
Wed Feb 14 2024,8:00p,Houston Rockets,113,Memphis Grizzlies,121,Box Score,,15012,2:22,FedEx Forum,
Wed Feb 14 2024,8:00p,Washington Wizards,126,New Orleans Pelicans,133,Box Score,,18316,2:30,Smoothie King Center,
Wed Feb 14 2024,8:30p,San Antonio Spurs,93,Dallas Mavericks,116,Box Score,,20311,1:58,American Airlines Center,
Wed Feb 14 2024,9:00p,Sacramento Kings,102,Denver Nuggets,98,Box Score,,19617,2:15,Ball Arena,
Wed Feb 14 2024,9:00p,Detroit Pistons,100,Phoenix Suns,116,Box Score,,17071,2:18,Footprint Center,
Wed Feb 14 2024,9:00p,Los Angeles Lakers,138,Utah Jazz,122,Box Score,,18206,2:06,Delta Center,
Wed Feb 14 2024,10:00p,Los Angeles Clippers,130,Golden State Warriors,125,Box Score,,18064,2:33,Chase Center,
Thu Feb 15 2024,8:30p,Milwaukee Bucks,110,Memphis Grizzlies,113,Box Score,,16544,2:28,FedEx Forum,
Thu Feb 15 2024,9:00p,Golden State Warriors,140,Utah Jazz,137,Box Score,,18206,2:14,Delta Center,
Thu Feb 15 2024,10:00p,Minnesota Timberwolves,128,Portland Trail Blazers,91,Box Score,,18606,2:10,Moda Center,
Thu Feb 22 2024,7:00p,Orlando Magic,116,Cleveland Cavaliers,109,Box Score,,19432,2:15,Rocket Mortgage Fieldhouse,
Thu Feb 22 2024,7:00p,Detroit Pistons,115,Indiana Pacers,129,Box Score,,16506,2:08,Gainbridge Fieldhouse,
Thu Feb 22 2024,7:00p,New York Knicks,110,Philadelphia 76ers,96,Box Score,,21094,2:13,Wells Fargo Center,
Thu Feb 22 2024,7:00p,Brooklyn Nets,93,Toronto Raptors,121,Box Score,,19800,2:13,Scotiabank Arena,
Thu Feb 22 2024,7:30p,Phoenix Suns,113,Dallas Mavericks,123,Box Score,,20377,2:25,American Airlines Center,
Thu Feb 22 2024,8:00p,Boston Celtics,129,Chicago Bulls,112,Box Score,,20313,2:03,United Center,
Thu Feb 22 2024,8:00p,Houston Rockets,105,New Orleans Pelicans,127,Box Score,,17421,2:18,Smoothie King Center,
