Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Tue Nov 1 2022,7:30p,Chicago Bulls,108,Brooklyn Nets,99,Box Score,,17732,2:16,Barclays Center,
Tue Nov 1 2022,7:30p,Golden State Warriors,109,Miami Heat,116,Box Score,,19600,2:22,Kaseya Center,
Tue Nov 1 2022,8:00p,Orlando Magic,108,Oklahoma City Thunder,116,Box Score,,13109,2:09,Paycom Center,
Tue Nov 1 2022,10:00p,Minnesota Timberwolves,107,Phoenix Suns,116,Box Score,,17071,2:28,Footprint Center,
Wed Nov 2 2022,6:00p,Washington Wizards,121,Philadelphia 76ers,111,Box Score,,19855,2:14,Wells Fargo Center,
Wed Nov 2 2022,7:30p,Boston Celtics,113,Cleveland Cavaliers,114,Box Score,OT,19432,2:35,Rocket Mortgage Fieldhouse,
Wed Nov 2 2022,7:30p,Sacramento Kings,107,Miami Heat,110,Box Score,,19600,2:13,Kaseya Center,
Wed Nov 2 2022,7:30p,Atlanta Hawks,112,New York Knicks,99,Box Score,,19812,2:11,Madison Square Garden (IV),
Wed Nov 2 2022,8:00p,Charlotte Hornets,88,Chicago Bulls,106,Box Score,,17886,2:07,United Center,
Wed Nov 2 2022,8:00p,Los Angeles Clippers,109,Houston Rockets,101,Box Score,,15860,2:08,Toyota Center,
Wed Nov 2 2022,8:00p,Detroit Pistons,91,Milwaukee Bucks,116,Box Score,,17341,2:10,Fiserv Forum,
Wed Nov 2 2022,8:00p,Toronto Raptors,143,San Antonio Spurs,100,Box Score,,12155,2:04,AT&T Center,
Wed Nov 2 2022,8:30p,Utah Jazz,100,Dallas Mavericks,103,Box Score,,19877,2:07,American Airlines Center,
Wed Nov 2 2022,10:00p,Memphis Grizzlies,111,Portland Trail Blazers,106,Box Score,,19462,2:19,Moda Center,
Wed Nov 2 2022,10:30p,New Orleans Pelicans,117,Los Angeles Lakers,120,Box Score,OT,18997,2:20,Crypto.com Arena,
Thu Nov 3 2022,7:00p,Golden State Warriors,129,Orlando Magic,130,Box Score,,18846,2:29,Amway Center,
