Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Jun 5 2025,8:30p,Indiana Pacers,111,Oklahoma City Thunder,110,Box Score,,18203,2:30,Paycom Center,
Sun Jun 8 2025,8:00p,Indiana Pacers,107,Oklahoma City Thunder,123,Box Score,,18203,2:29,Paycom Center,
Wed Jun 11 2025,8:30p,Oklahoma City Thunder,107,Indiana Pacers,116,Box Score,,17274,2:36,Gainbridge Fieldhouse,
Fri Jun 13 2025,8:30p,Oklahoma City Thunder,111,Indiana Pacers,104,Box Score,,17274,2:49,Gainbridge Fieldhouse,
Mon Jun 16 2025,8:30p,Indiana Pacers,109,Oklahoma City Thunder,120,Box Score,,18203,2:36,Paycom Center,
Thu Jun 19 2025,8:30p,Oklahoma City Thunder,91,Indiana Pacers,108,Box Score,,17274,2:30,Gainbridge Fieldhouse,
Sun Jun 22 2025,8:00p,Indiana Pacers,91,Oklahoma City Thunder,103,Box Score,,18203,2:40,Paycom Center,
