Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed Mar 1 2023,7:00p,Phoenix Suns,105,Charlotte Hornets,91,Box Score,,19137,2:06,Spectrum Center,
Wed Mar 1 2023,7:00p,Chicago Bulls,117,Detroit Pistons,115,Box Score,,18098,2:20,Little Caesars Arena,
Wed Mar 1 2023,7:30p,Cleveland Cavaliers,113,Boston Celtics,117,Box Score,,19156,2:17,TD Garden,
Wed Mar 1 2023,7:30p,Philadelphia 76ers,119,Miami Heat,96,Box Score,,19600,2:09,Kaseya Center,
Wed Mar 1 2023,7:30p,Brooklyn Nets,118,New York Knicks,142,Box Score,,19812,2:19,Madison Square Garden (IV),
Wed Mar 1 2023,8:00p,Memphis Grizzlies,113,Houston Rockets,99,Box Score,,15919,2:06,Toyota Center,
Wed Mar 1 2023,8:00p,Orlando Magic,117,Milwaukee Bucks,139,Box Score,,17354,2:13,Fiserv Forum,
Wed Mar 1 2023,8:00p,Los Angeles Lakers,123,Oklahoma City Thunder,117,Box Score,,17114,2:17,Paycom Center,
Wed Mar 1 2023,10:00p,New Orleans Pelicans,121,Portland Trail Blazers,110,Box Score,,18566,2:13,Moda Center,
Thu Mar 2 2023,7:00p,Toronto Raptors,108,Washington Wizards,119,Box Score,,14643,2:08,Capital One Arena,
Thu Mar 2 2023,7:30p,Philadelphia 76ers,126,Dallas Mavericks,133,Box Score,,20002,2:25,American Airlines Center,
Thu Mar 2 2023,8:30p,Indiana Pacers,99,San Antonio Spurs,110,Box Score,,14617,2:07,AT&T Center,
Thu Mar 2 2023,10:00p,Los Angeles Clippers,91,Golden State Warriors,115,Box Score,,18064,2:27,Chase Center,
Fri Mar 3 2023,7:00p,Orlando Magic,117,Charlotte Hornets,106,Box Score,,16683,2:16,Spectrum Center,
Fri Mar 3 2023,7:30p,Portland Trail Blazers,111,Atlanta Hawks,129,Box Score,,17521,2:06,State Farm Arena,
Fri Mar 3 2023,7:30p,Brooklyn Nets,115,Boston Celtics,105,Box Score,,19156,2:20,TD Garden,
Fri Mar 3 2023,8:00p,Phoenix Suns,125,Chicago Bulls,104,Box Score,,21169,2:10,United Center,
Fri Mar 3 2023,8:00p,New York Knicks,122,Miami Heat,120,Box Score,,19600,2:21,Kaseya Center,
Fri Mar 3 2023,8:00p,Utah Jazz,103,Oklahoma City Thunder,130,Box Score,,16538,2:03,Paycom Center,
Fri Mar 3 2023,10:00p,Memphis Grizzlies,97,Denver Nuggets,113,Box Score,,19641,2:28,Ball Arena,
Fri Mar 3 2023,10:00p,New Orleans Pelicans,99,Golden State Warriors,108,Box Score,,18064,2:19,Chase Center,
Fri Mar 3 2023,10:00p,Los Angeles Clippers,127,Sacramento Kings,128,Box Score,,18111,2:19,Golden 1 Center,
Fri Mar 3 2023,10:30p,Minnesota Timberwolves,110,Los Angeles Lakers,102,Box Score,,18997,2:10,Crypto.com Arena,
Sat Mar 4 2023,5:00p,Toronto Raptors,116,Washington Wizards,109,Box Score,OT,18174,2:24,Capital One Arena,
Sat Mar 4 2023,7:30p,Detroit Pistons,90,Cleveland Cavaliers,114,Box Score,,19432,2:05,Rocket Mortgage Fieldhouse,
Sat Mar 4 2023,8:00p,Atlanta Hawks,109,Miami Heat,117,Box Score,,19600,2:11,Kaseya Center,
Sat Mar 4 2023,8:00p,Houston Rockets,122,San Antonio Spurs,110,Box Score,,18354,2:08,AT&T Center,
Sat Mar 4 2023,8:30p,Philadelphia 76ers,133,Milwaukee Bucks,130,Box Score,,18100,2:31,Fiserv Forum,
Sat Mar 4 2023,10:00p,Minnesota Timberwolves,138,Sacramento Kings,134,Box Score,,18111,2:13,Golden 1 Center,
Sun Mar 5 2023,1:00p,Phoenix Suns,130,Dallas Mavericks,126,Box Score,,20311,2:33,American Airlines Center,
Sun Mar 5 2023,3:30p,Indiana Pacers,125,Chicago Bulls,122,Box Score,,21225,2:20,United Center,
Sun Mar 5 2023,3:30p,Golden State Warriors,105,Los Angeles Lakers,113,Box Score,,18997,2:23,Crypto.com Arena,
Sun Mar 5 2023,6:00p,Charlotte Hornets,86,Brooklyn Nets,102,Box Score,,17921,2:02,Barclays Center,
Sun Mar 5 2023,6:00p,Portland Trail Blazers,122,Orlando Magic,119,Box Score,,18846,2:26,Amway Center,
Sun Mar 5 2023,7:00p,San Antonio Spurs,110,Houston Rockets,142,Box Score,,16721,2:09,Toyota Center,
Sun Mar 5 2023,7:00p,Utah Jazz,119,Oklahoma City Thunder,129,Box Score,,14778,2:10,Paycom Center,
Sun Mar 5 2023,7:30p,New York Knicks,131,Boston Celtics,129,Box Score,2OT,19156,2:56,TD Garden,
Sun Mar 5 2023,7:30p,Milwaukee Bucks,117,Washington Wizards,111,Box Score,,18746,2:11,Capital One Arena,
Sun Mar 5 2023,10:00p,Memphis Grizzlies,129,Los Angeles Clippers,135,Box Score,,19068,2:21,Crypto.com Arena,
Mon Mar 6 2023,7:00p,Boston Celtics,114,Cleveland Cavaliers,118,Box Score,OT,19432,2:36,Rocket Mortgage Fieldhouse,
Mon Mar 6 2023,7:00p,Portland Trail Blazers,110,Detroit Pistons,104,Box Score,,16989,2:08,Little Caesars Arena,
Mon Mar 6 2023,7:00p,Philadelphia 76ers,147,Indiana Pacers,143,Box Score,,15008,2:29,Gainbridge Fieldhouse,
Mon Mar 6 2023,7:30p,Atlanta Hawks,128,Miami Heat,130,Box Score,,19600,2:20,Kaseya Center,
Mon Mar 6 2023,9:00p,Toronto Raptors,113,Denver Nuggets,118,Box Score,,19520,2:13,Ball Arena,
Mon Mar 6 2023,10:00p,New Orleans Pelicans,108,Sacramento Kings,123,Box Score,,17708,2:05,Golden 1 Center,
Tue Mar 7 2023,7:00p,Washington Wizards,119,Detroit Pistons,117,Box Score,,17855,2:06,Little Caesars Arena,
Tue Mar 7 2023,7:00p,Milwaukee Bucks,134,Orlando Magic,123,Box Score,,16110,2:12,Amway Center,
Tue Mar 7 2023,7:30p,Philadelphia 76ers,117,Minnesota Timberwolves,94,Box Score,,17136,2:14,Target Center,
Tue Mar 7 2023,7:30p,Charlotte Hornets,112,New York Knicks,105,Box Score,,19812,2:13,Madison Square Garden (IV),
Tue Mar 7 2023,8:00p,Brooklyn Nets,118,Houston Rockets,96,Box Score,,14833,2:05,Toyota Center,
Tue Mar 7 2023,8:00p,Golden State Warriors,128,Oklahoma City Thunder,137,Box Score,,16142,2:21,Paycom Center,
Tue Mar 7 2023,8:30p,Utah Jazz,116,Dallas Mavericks,120,Box Score,,20277,2:17,American Airlines Center,
Tue Mar 7 2023,10:00p,Memphis Grizzlies,103,Los Angeles Lakers,112,Box Score,,18997,2:24,Crypto.com Arena,
Wed Mar 8 2023,7:00p,Atlanta Hawks,122,Washington Wizards,120,Box Score,,15087,2:14,Capital One Arena,
Wed Mar 8 2023,7:30p,Portland Trail Blazers,93,Boston Celtics,115,Box Score,,19156,2:02,TD Garden,
Wed Mar 8 2023,7:30p,Cleveland Cavaliers,104,Miami Heat,100,Box Score,,19600,2:28,Kaseya Center,
Wed Mar 8 2023,7:30p,Dallas Mavericks,106,New Orleans Pelicans,113,Box Score,,17473,2:13,Smoothie King Center,
Wed Mar 8 2023,9:00p,Chicago Bulls,117,Denver Nuggets,96,Box Score,,19896,2:01,Ball Arena,
Wed Mar 8 2023,9:00p,Oklahoma City Thunder,101,Phoenix Suns,132,Box Score,,17071,2:07,Footprint Center,
Wed Mar 8 2023,10:00p,Toronto Raptors,100,Los Angeles Clippers,108,Box Score,,17397,2:17,Crypto.com Arena,
Thu Mar 9 2023,7:00p,Charlotte Hornets,113,Detroit Pistons,103,Box Score,,17121,2:08,Little Caesars Arena,
Thu Mar 9 2023,7:00p,Houston Rockets,125,Indiana Pacers,134,Box Score,OT,16027,2:29,Gainbridge Fieldhouse,
Thu Mar 9 2023,7:00p,Utah Jazz,131,Orlando Magic,124,Box Score,,16552,2:22,Amway Center,
Thu Mar 9 2023,7:30p,Golden State Warriors,110,Memphis Grizzlies,131,Box Score,,17794,2:25,FedEx Forum,
Thu Mar 9 2023,8:00p,Brooklyn Nets,113,Milwaukee Bucks,118,Box Score,,17341,2:08,Fiserv Forum,
Thu Mar 9 2023,10:00p,New York Knicks,117,Sacramento Kings,122,Box Score,,18068,2:33,Golden 1 Center,
Fri Mar 10 2023,7:00p,Portland Trail Blazers,119,Philadelphia 76ers,120,Box Score,,21001,2:21,Wells Fargo Center,
Fri Mar 10 2023,7:00p,Atlanta Hawks,114,Washington Wizards,107,Box Score,,18161,2:23,Capital One Arena,
Fri Mar 10 2023,8:00p,Cleveland Cavaliers,115,Miami Heat,119,Box Score,,19757,2:21,Kaseya Center,
Fri Mar 10 2023,8:00p,Brooklyn Nets,124,Minnesota Timberwolves,123,Box Score,OT,17136,2:38,Target Center,
