Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Oct 22 2022,8:00p,Houston Rockets,105,Milwaukee Bucks,125,Box Score,,17341,2:11,Fiserv Forum,
Sat Oct 22 2022,8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,Box Score,,20377,2:18,American Airlines Center,
Sat Oct 22 2022,9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,Box Score,,19983,2:19,Ball Arena,
Sat Oct 22 2022,10:00p,Los Angeles Clippers,111,Sacramento Kings,109,Box Score,,16296,2:27,Golden 1 Center,
Sun Oct 23 2022,3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,Box Score,,18997,2:28,Crypto.com Arena,
Sun Oct 23 2022,5:00p,Charlotte Hornets,126,Atlanta Hawks,109,Box Score,,17383,2:20,State Farm Arena,
Sun Oct 23 2022,7:00p,Washington Wizards,107,Cleveland Cavaliers,117,Box Score,OT,19432,2:34,Rocket Mortgage Fieldhouse,
Sun Oct 23 2022,7:00p,Utah Jazz,122,New Orleans Pelicans,121,Box Score,OT,18665,2:31,Smoothie King Center,
Sun Oct 23 2022,8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,Box Score,,15044,2:09,Paycom Center,
Sun Oct 23 2022,8:30p,Sacramento Kings,125,Golden State Warriors,130,Box Score,,18064,2:24,Chase Center,
Sun Oct 23 2022,10:00p,Phoenix Suns,112,Los Angeles Clippers,95,Box Score,,19068,2:06,Crypto.com Arena,
Mon Oct 24 2022,7:00p,Indiana Pacers,106,Philadelphia 76ers,120,Box Score,,19786,2:16,Wells Fargo Center,
Mon Oct 24 2022,7:30p,Toronto Raptors,98,Miami Heat,90,Box Score,,19600,2:13,Kaseya Center,
Mon Oct 24 2022,7:30p,Orlando Magic,102,New York Knicks,115,Box Score,,18800,2:13,Madison Square Garden (IV),
Mon Oct 24 2022,8:00p,Boston Celtics,102,Chicago Bulls,120,Box Score,,17673,2:08,United Center,
Mon Oct 24 2022,8:00p,Utah Jazz,108,Houston Rockets,114,Box Score,,16260,2:14,Toyota Center,
Mon Oct 24 2022,8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,Box Score,,17392,2:19,FedEx Forum,
Mon Oct 24 2022,8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,Box Score,,15347,2:11,Target Center,
Mon Oct 24 2022,10:00p,Denver Nuggets,110,Portland Trail Blazers,135,Box Score,,18111,2:11,Moda Center,
Tue Oct 25 2022,7:00p,Detroit Pistons,99,Washington Wizards,120,Box Score,,13196,2:13,Capital One Arena,
Tue Oct 25 2022,7:30p,Dallas Mavericks,111,New Orleans Pelicans,113,Box Score,,14020,2:17,Smoothie King Center,
Tue Oct 25 2022,8:00p,Los Angeles Clippers,94,Oklahoma City Thunder,108,Box Score,,13105,2:05,Paycom Center,
Tue Oct 25 2022,10:00p,Golden State Warriors,105,Phoenix Suns,134,Box Score,,17071,2:23,Footprint Center,
Wed Oct 26 2022,7:00p,Orlando Magic,92,Cleveland Cavaliers,103,Box Score,,0,2:26,Rocket Mortgage Fieldhouse,
Wed Oct 26 2022,7:00p,Atlanta Hawks,118,Detroit Pistons,113,Box Score,,17987,2:19,Little Caesars Arena,
Wed Oct 26 2022,7:30p,Brooklyn Nets,99,Milwaukee Bucks,110,Box Score,,17341,2:31,Fiserv Forum,
Wed Oct 26 2022,7:30p,Charlotte Hornets,131,New York Knicks,134,Box Score,OT,19812,2:45,Madison Square Garden (IV),
Wed Oct 26 2022,7:30p,Philadelphia 76ers,109,Toronto Raptors,119,Box Score,,19800,2:02,Scotiabank Arena,
Wed Oct 26 2022,8:00p,Indiana Pacers,109,Chicago Bulls,124,Box Score,,18306,2:26,United Center,
Wed Oct 26 2022,8:00p,San Antonio Spurs,122,Minnesota Timberwolves,134,Box Score,,16165,2:05,Target Center,
Wed Oct 26 2022,9:00p,Houston Rockets,101,Utah Jazz,109,Box Score,,18206,2:20,Vivint Arena,
Wed Oct 26 2022,10:00p,Los Angeles Lakers,99,Denver Nuggets,110,Box Score,,19520,2:12,Ball Arena,
Wed Oct 26 2022,10:00p,Miami Heat,119,Portland Trail Blazers,98,Box Score,,18588,2:03,Moda Center,
Thu Oct 27 2022,7:30p,Dallas Mavericks,129,Brooklyn Nets,125,Box Score,OT,18039,2:42,Barclays Center,
Thu Oct 27 2022,8:00p,Los Angeles Clippers,110,Oklahoma City Thunder,118,Box Score,,14510,2:05,Paycom Center,
Thu Oct 27 2022,10:00p,Miami Heat,110,Golden State Warriors,123,Box Score,,18064,2:04,Chase Center,
Thu Oct 27 2022,10:00p,Memphis Grizzlies,125,Sacramento Kings,110,Box Score,,15511,2:08,Golden 1 Center,
Fri Oct 28 2022,7:00p,Atlanta Hawks,136,Detroit Pistons,112,Box Score,,18923,2:11,Little Caesars Arena,
Fri Oct 28 2022,7:00p,Charlotte Hornets,93,Orlando Magic,113,Box Score,,18846,2:08,Amway Center,
Fri Oct 28 2022,7:30p,Cleveland Cavaliers,132,Boston Celtics,123,Box Score,OT,19156,2:42,TD Garden,
Fri Oct 28 2022,7:30p,Philadelphia 76ers,112,Toronto Raptors,90,Box Score,,19800,2:05,Scotiabank Arena,
Fri Oct 28 2022,7:30p,Indiana Pacers,127,Washington Wizards,117,Box Score,,13463,2:25,Capital One Arena,
Fri Oct 28 2022,8:00p,New York Knicks,108,Milwaukee Bucks,119,Box Score,,17341,2:25,Fiserv Forum,
Fri Oct 28 2022,8:00p,Los Angeles Lakers,102,Minnesota Timberwolves,111,Box Score,,17136,2:28,Target Center,
Fri Oct 28 2022,8:30p,Chicago Bulls,124,San Antonio Spurs,129,Box Score,,16562,2:17,AT&T Center,
Fri Oct 28 2022,9:00p,Utah Jazz,101,Denver Nuggets,117,Box Score,,19560,2:07,Ball Arena,
Fri Oct 28 2022,10:00p,New Orleans Pelicans,111,Phoenix Suns,124,Box Score,,17071,2:13,Footprint Center,
Fri Oct 28 2022,10:00p,Houston Rockets,111,Portland Trail Blazers,125,Box Score,,19082,2:11,Moda Center,
Sat Oct 29 2022,6:00p,Miami Heat,113,Sacramento Kings,119,Box Score,,14618,2:31,Golden 1 Center,
Sat Oct 29 2022,7:00p,Golden State Warriors,113,Charlotte Hornets,120,Box Score,OT,19079,2:26,Spectrum Center,
Sat Oct 29 2022,7:30p,Indiana Pacers,125,Brooklyn Nets,116,Box Score,,17732,2:14,Barclays Center,
Sat Oct 29 2022,8:00p,Philadelphia 76ers,114,Chicago Bulls,109,Box Score,,19010,2:25,United Center,
Sat Oct 29 2022,8:00p,Atlanta Hawks,115,Milwaukee Bucks,123,Box Score,,17341,2:15,Fiserv Forum,
Sat Oct 29 2022,9:00p,Oklahoma City Thunder,117,Dallas Mavericks,111,Box Score,OT,20307,2:38,American Airlines Center,
Sat Oct 29 2022,9:00p,Memphis Grizzlies,123,Utah Jazz,124,Box Score,,18206,2:14,Vivint Arena,
Sun Oct 30 2022,3:00p,New Orleans Pelicans,112,Los Angeles Clippers,91,Box Score,,18142,1:59,Crypto.com Arena,
Sun Oct 30 2022,6:00p,Washington Wizards,94,Boston Celtics,112,Box Score,,19156,2:00,TD Garden,
Sun Oct 30 2022,6:00p,New York Knicks,108,Cleveland Cavaliers,121,Box Score,,19432,2:13,Rocket Mortgage Fieldhouse,
Sun Oct 30 2022,6:00p,Golden State Warriors,114,Detroit Pistons,128,Box Score,,20190,2:19,Little Caesars Arena,
Sun Oct 30 2022,7:00p,Minnesota Timberwolves,98,San Antonio Spurs,107,Box Score,,15053,2:14,AT&T Center,
Sun Oct 30 2022,7:30p,Orlando Magic,105,Dallas Mavericks,114,Box Score,,20042,2:22,American Airlines Center,
Sun Oct 30 2022,9:00p,Houston Rockets,109,Phoenix Suns,124,Box Score,,17071,2:22,Footprint Center,
Sun Oct 30 2022,9:30p,Denver Nuggets,110,Los Angeles Lakers,121,Box Score,,18997,2:07,Crypto.com Arena,
Mon Oct 31 2022,7:00p,Sacramento Kings,115,Charlotte Hornets,108,Box Score,,12020,2:19,Spectrum Center,
Mon Oct 31 2022,7:00p,Philadelphia 76ers,118,Washington Wizards,111,Box Score,,13746,2:14,Capital One Arena,
Mon Oct 31 2022,7:30p,Indiana Pacers,109,Brooklyn Nets,116,Box Score,,15770,2:20,Barclays Center,
Mon Oct 31 2022,7:30p,Atlanta Hawks,109,Toronto Raptors,139,Box Score,,19800,2:13,Scotiabank Arena,
Mon Oct 31 2022,8:00p,Detroit Pistons,108,Milwaukee Bucks,110,Box Score,,17341,2:21,Fiserv Forum,
Mon Oct 31 2022,9:00p,Memphis Grizzlies,105,Utah Jazz,121,Box Score,,18206,2:16,Vivint Arena,
Mon Oct 31 2022,10:30p,Houston Rockets,93,Los Angeles Clippers,95,Box Score,,14887,2:13,Crypto.com Arena,
